text,label
Sounds great! Im going to sleep now. Have a good night!,ham
What Today-sunday..sunday is holiday..so no work..,ham
I think asking for a gym is the excuse for lazy people. I jog.,ham
Lmao. Take a pic and send it to me.,ham
* Will have two more cartons off u and is very pleased with shelves,ham
Now only i reached home. . . I am very tired now. . I will come tomorro,ham
That's a shame! Maybe cld meet for few hrs tomo?,ham
Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham
"There're some people by mu, I'm at the table by lambda",ham
Convey my regards to him,ham
No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:),ham
Lol. Well quality aint bad at all so i aint complaining,ham
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham
"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",ham
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",ham
Badrith is only for chennai:)i will surely pick for us:)no competition for him.,ham
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham
Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,spam
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),ham
What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,ham
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam
Win a £1000 cash prize or a prize worth £5000,spam
My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,ham
Ü comin to fetch us oredi...,ham
Want to finally have lunch today?,ham
Yeah imma come over cause jay wants to do some drugs,ham
What is important is that you prevent dehydration by giving her enough fluids,ham
No de. But call me after some time. Ill tell you k,ham
"""HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.""",ham
"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",ham
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,ham
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnt make ur bday 2 hun!",ham
Change again... It's e one next to escalator...,ham
"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",ham
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,spam
Oh ho. Is this the first time u use these type of words,ham
I will send them to your email. Do you mind  &lt;#&gt;  times per night?,ham
Hope you are having a great day.,ham
I'm going 2 orchard now laready me reaching soon. U reaching?,ham
I think u have the wrong number.,ham
If you have belive me. Come to my home.,ham
I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,ham
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",ham
Yeah just open chat and click friend lists. Then make the list. Easy as pie,ham
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,ham
"""Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?""",ham
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches,spam
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,ham
Er mw im filled tuth is aight,ham
U still painting ur wall?,ham
Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,ham
"Not sure yet, still trying to get a hold of him",ham
Sounds like something that someone testing me would sayy,ham
Lol now I'm after that hot air balloon!,ham
Wah lucky man... Then can save money... Hee...,ham
For my family happiness..,ham
"I can't, I don't have her number!",ham
No plans yet. What are you doing ?,ham
"Velly good, yes please!",ham
"""HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!""",ham
Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,spam
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,ham
I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,ham
"Cool, I'll text you in a few",ham
"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",ham
Really dun bluff me leh... U sleep early too. Nite...,ham
The wine is flowing and i'm i have nevering..,ham
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",ham
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
Oops my phone died and I didn't even know. Yeah I like it better.,ham
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,ham
I cant pick the phone right now. Pls send a message,ham
Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),ham
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,ham
Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,spam
Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,ham
Dear good morning how you feeling dear,ham
Hey... What time is your driving on fri? We go for evaluation on fri?,ham
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,spam
"Sorry, I'll call later",ham
That's significant but dont worry.,ham
Ha ha ha good joke. Girls are situation seekers.,ham
Did you try making another butt.,ham
I might go 2 sch. Yar at e salon now v boring.,ham
(That said can you text him one more time?),ham
No problem. Talk to you later,ham
"Sir Goodmorning, Once free call me.",ham
S...i will take mokka players only:),ham
"""Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U..."" Gud nyt...",ham
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",ham
"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",ham
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",ham
In meeting da. I will call you,ham
If he started searching he will get job in few days.he have great potential and talent.,ham
"Sorry, I'll call later",ham
"K I'll head out in a few mins, see you there",ham
Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,ham
MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.,ham
Networking job is there.,ham
It certainly puts things into perspective when something like this happens,ham
Dear reached railway. What happen to you,ham
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",spam
So now my dad is gonna call after he gets out of work and ask all these crazy questions.,ham
I will lick up every drop :) are you ready to use your mouth as well?,ham
Hmmm.but you should give it on one day..,ham
No da if you run that it activate the full version da.,ham
"Until 545 lor... Ya, can go 4 dinner together...",ham
Alright i have a new goal now,ham
Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,ham
Daddy will take good care of you :),ham
"Arms fine, how's Cardiff and uni?",ham
Bring tat cd don forget,ham
Just got outta class gonna go gym.,ham
I remain unconvinced that this isn't an elaborate test of my willpower,ham
If I die I want u to have all my stuffs.,ham
Thanks honey. Have a great day.,ham
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",ham
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
G wants to know where the fuck you are,ham
gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number.,ham
"Sorry, I'll call later",ham
Dai i downloaded but there is only exe file which i can only run that exe after installing.,ham
K...k:)why cant you come here and search job:),ham
"""Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.""",ham
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",ham
We can go 4 e normal pilates after our intro...,ham
&lt;#&gt;  am I think? Should say on syllabus,ham
I can't make it tonight,ham
They r giving a second chance to rahul dengra.,ham
"No I'm good for the movie, is it ok if I leave in an hourish?",ham
I donno its in your genes or something,ham
K..k...from tomorrow onwards started ah?,ham
No problem. How are you doing?,ham
Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?,ham
"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",ham
"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",ham
Whens your radio show?,ham
Howz pain?hope u r fine..,ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,ham
Teach me apps da. When you come to college.,ham
Sent me de webadres for geting salary slip,ham
Please tell me you have some of that special stock you were talking about,ham
Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,ham
Please dont say like that. Hi hi hi,ham
You are not bothering me but you have to trust my answers. Pls.,ham
"Aight, can you text me the address?",ham
"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",ham
Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,ham
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,ham
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",ham
Where is that one day training:-),ham
Lol u still feeling sick?,ham
U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870,spam
1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,ham
Guessin you ain't gonna be here before 9?,ham
Dont pick up d call when something important is There to tell. Hrishi,ham
"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",spam
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
Yup ok...,ham
Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,ham
Am not interested to do like that.,ham
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham
Much better now thanks lol,ham
Heehee that was so funny tho,ham
would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked,ham
LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,spam
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,spam
Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,ham
"Cool, I'll text you when I'm on the way",ham
She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up,ham
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",spam
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",ham
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,ham
Double eviction this week - Spiral and Michael and good riddance to them!,ham
I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,ham
Ü go home liao? Ask dad to pick me up at 6...,ham
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",spam
K I'll call you when I'm close,ham
"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)",ham
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam
I place all ur points on e cultures module already.,ham
Dont talk to him ever ok its my word.,ham
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",ham
That sucks. I'll go over so u can do my hair. You'll do it free right?,ham
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,ham
Do you work all this week ?,ham
Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,spam
So do you have samus shoulders yet,ham
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",ham
"""EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.""",ham
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",spam
Oh ya ya. I remember da. .,ham
"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",ham
I don know account details..i will ask my mom and send you.my mom is out of reach now.,ham
"Haha figures, well I found the piece and priscilla's bowl",ham
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,spam
"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",spam
"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",ham
"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",ham
Also are you bringing galileo or dobby,ham
No probs hon! How u doinat the mo?,ham
I've reached sch already...,ham
Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,ham
Dunno dat's wat he told me. Ok lor...,ham
Yun buying... But school got offer 2000 plus only...,ham
Finish liao... U?,ham
Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,ham
At home also.,ham
You will be in the place of that man,ham
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham
Be happy there. I will come after noon,ham
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,ham
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,spam
Ok...,ham
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
I.ll hand her my phone to chat wit u,ham
Hi kindly give us back our documents which we submitted for loan from STAPATI,ham
Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.,ham
Can you say what happen,ham
I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,ham
How was txting and driving,ham
I have a rather prominent bite mark on my right cheek,ham
She ran off with a younger man. we will make pretty babies together :),ham
"Lol, oh you got a friend for the dog ?",ham
Wanna do some art?! :D,ham
Yeah I can still give you a ride,ham
"""Speak only when you feel your words are better than the silence..."" Gud mrng:-)",ham
Lemme know when you're here,ham
Not course. Only maths one day one chapter with in one month we can finish.,ham
Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,ham
"Its ok., i just askd did u knw tht no?",ham
Is there coming friday is leave for pongal?do you get any news from your work place.,ham
Any way where are you and what doing.,ham
Still work going on:)it is very small house.,ham
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham
Now? I'm going out 4 dinner soon..,ham
Yes :)it completely in out of form:)clark also utter waste.,ham
Fine am simply sitting.,ham
Check wid corect speling i.e. Sarcasm,ham
RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,spam
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY.",ham
I donno if they are scorable,ham
Did u got that persons story,ham
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,ham
"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",spam
Reckon need to be in town by eightish to walk from * carpark.,ham
"Aldrine, rakhesh ex RTM here.pls call.urgent.",ham
Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,ham
No she didnt. I will search online and let you know.,ham
Is ur paper in e morn or aft tmr?,ham
Yes:)sura in sun tv.:)lol.,ham
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",spam
"""Hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x""",ham
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam
"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",ham
"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",ham
Do u noe wat time e place dat sells 4d closes?,ham
So li hai... Me bored now da lecturer repeating last weeks stuff waste time...,ham
I havent add ü yet right..,ham
"[…] anyway, many good evenings to u! s",ham
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,ham
K still are you loving me.,ham
"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",ham
Yes:)here tv is always available in work place..,ham
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,spam
No i am not having not any movies in my laptop,ham
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,ham
Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,ham
Finally the match heading towards draw as your prediction.,ham
Please attend the phone:),ham
Oh... Kay... On sat right?,ham
If you ask her or she say any please message.,ham
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,ham
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,ham
Dunno lei shd b driving lor cos i go sch 1 hr oni.,ham
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham
7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,ham
Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,ham
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",ham
She.s find. I sent you an offline message to know how anjola's now.,ham
Where are you?when wil you reach here?,ham
Hows the champ just leaving glasgow!,ham
